GVR Best	Optimal	Heuristics Best
Instance	Vehicles	Distance	Vehicles	Distance	Vehicles	Distance
R101	21	1666.3	20	1637.7	19	1645.79
R102	19	1486.1	18	1466.6	17	1486.12
R103	15	1243.4	14	1208.7	13	1292.68
R104	12	1013.6	n/a	n/a	10	982.01
R105	17	1423.5	15	1355.3	14	1377.11
R106	15	1282.8	13	1234.6	12	1252.03
R107	12	1110.6	11	1064.6	10	1104.66
R108	10	983.4	n/a	n/a	9	960.88
R109	14	1209.2	13	1146.9	11	1194.73
R110	13	1140.3	12	1068	10	1118.84
R111	12	1115.9	12	1048.7	10	1096.72
R112	11	1003.5	n/a	n/a	9	982.14
